ds,yhat,yhat_lower,yhat_upper
2023-07-02,185.46828858535267,172.12563636981457,198.95174540791996
2023-07-03,173.70092981932268,160.30805774014618,187.12751816209305
2023-07-04,150.26035721139587,135.6213453403733,163.72765554644403
2023-07-05,150.7304579469253,137.36992160759712,165.24283644435516
2023-07-06,150.0778792913729,137.65916212066628,164.106367368103
2023-07-07,151.52811188349182,138.67403642031957,164.57000996266004
2023-07-08,184.46757040232882,170.6506142003327,198.54561596891745
2023-07-09,185.16463197879955,171.720185806795,199.00361579422466
2023-07-10,173.4449654805281,160.57876547440858,187.60455334033713
2023-07-11,150.0635651294239,135.1544035476707,163.5193132435726
2023-07-12,150.60450097042326,137.9148739451465,163.98439496712635
2023-07-13,150.03424928275322,135.65054178455662,162.92487620359196
2023-07-14,151.57776836465908,137.39893839780163,166.16238059091626
2023-07-15,184.62058076742343,170.20054481258344,198.46851158190185
2023-07-16,185.42982271438302,172.60695581770878,198.1473135692712
2023-07-17,173.82959396357296,160.55748913625646,187.2789596114168
2023-07-18,150.57302144944686,137.95066910064645,164.471290416424
2023-07-19,151.24204883705562,136.94961477179532,165.7176686921199
2023-07-20,150.80081443144266,136.61775437689346,163.8729282334431
2023-07-21,152.47178196754038,138.8890985179582,166.5070550217951
2023-07-22,185.63788420649698,171.40799508590936,199.7952140753081
2023-07-23,186.56363870291244,172.4415988128809,199.30269479169368
2023-07-24,175.07056743582,161.3143115611695,188.0710628574313
2023-07-25,151.90933191586714,138.75824462652616,165.40741790993528
2023-07-26,152.65959406304376,138.43448452465353,166.53591374684106
2023-07-27,152.28346338619528,138.23141491780507,165.5167060335613
2023-07-28,154.00169306326706,140.15064233263263,166.73758211863995
2023-07-29,187.19588294957953,173.589217080534,201.78273502032704
2023-07-30,188.12964707250225,174.51419327532858,201.70225257082947
2023-07-31,176.62407563608178,163.11697812780758,191.0359224797222
2023-08-01,153.42990167290418,140.27162724743465,167.48718985472453
2023-08-02,154.12738140177748,140.36066276784618,167.4939750097256
2023-08-03,153.6797478691439,140.5633154225154,167.2556635239438
2023-08-04,155.3093998377605,142.86802897718533,169.1328669439195
2023-08-05,188.4000836644004,174.32924081415507,202.1634304427188
2023-08-06,189.21802579997905,175.67232415553332,202.1869288751453
2023-08-07,177.58734628167835,163.3905676680245,192.02866674926779
2023-08-08,154.26216475251684,140.85396770254593,167.25610745018605
2023-08-09,154.82640812479968,142.47445756424003,167.40911371031174
2023-08-10,154.24718214656613,141.1843436140264,168.45552135052205
2023-08-11,155.75087011794926,141.9000682368056,168.49168284074227
